Year ;Month;InternetRetail
2011;Jul;442,3
2011;Aug;433,5
2011;Sep;464,0
2011;Oct;506,4
2011;Nov;657,5
2011;Dec;718,6
2012;Jan;502,6
2012;Feb;491,0
2012;Mar;499,1
2012;Apr;505,1
2012;May;527,5
2012;Jun;496,0
2012;Jul;530,1
2012;Aug;473,3
2012;Sep;516,3
2012;Oct;562,5
2012;Nov;703,9
2012;Dec;846,2
2013;Jan;566,9
2013;Feb;554,2
2013;Mar;592,8
2013;Apr;575,2
2013;May;584,0
2013;Jun;585,8
2013;Jul;584,0
2013;Aug;576,2
2013;Sep;606,2
2013;Oct;662,6
2013;Nov;827,0
2013;Dec;960,4
2014;Jan;629,4
2014;Feb;620,2
2014;Mar;646,7
2014;Apr;661,5
2014;May;680,8
2014;Jun;673,4
2014;Jul;670,6
2014;Aug;655,0
2014;Sep;667,5
2014;Oct;742,2
2014;Nov;989,9
2014;Dec;1067,4
2015;Jan;750,9
2015;Feb;691,0
2015;Mar;727,7
2015;Apr;756,3
2015;May;744,6
2015;Jun;766,8
2015;Jul;758,9
2015;Aug;711,9
2015;Sep;763,7
2015;Oct;828,4
2015;Nov;1137,7
2015;Dec;1157,2
2016;Jan;854,4
2016;Feb;776,5
2016;Mar;811,7
2016;Apr;854,0
2016;May;890,5
2016;Jun;898,5
2016;Jul;894,2
2016;Aug;879,6
2016;Sep;960,5
2016;Oct;1076,8
2016;Nov;1460,5
2016;Dec;1505,6
2017;Jan;992,4
2017;Feb;949,0
2017;Mar;1009,1
2017;Apr;1042,7
2017;May;1043,1
2017;Jun;1078,9
2017;Jul;1074,4
2017;Aug;1046,7
2017;Sep;1090,7
2017;Oct;1179,7
2017;Nov;1608,4
2017;Dec;1641,6
2018;Jan;1126,9
2018;Feb;1093,9
2018;Mar;1175,7
2018;Apr;1178,2
2018;May;1264,2
2018;Jun;1248,2
2018;Jul;1246,2
2018;Aug;1192,9
2018;Sep;1219,0
2018;Oct;1332,9
2018;Nov;1816,9
2018;Dec;1854,6
2019;Jan;1280,3
2019;Feb;1243,7
2019;Mar;1345,3
2019;Apr;1348,0
2019;May;1377,6
2019;Jun;1351,4
2019;Jul;1419,1
2019;Aug;1329,2
2019;Sep;1319,2
2019;Oct;1446,3
2019;Nov;1802,6
2019;Dec;2069,2
